"University Name, number, Contact  address",Email ,Person name ,Comment 
"KOOKMIN UNIVERSITY,+82 29105836
 Phone : +82-2-910-4115~8, 4148, 5210, 5347
               +82-2-910-5802~9, 5816~20
","intl@kookmin.ac.kr,
info@kookmin.ac.kr,
","Yu ji soo,
President 
",
"EWHA WOMANS UNIVERSITY,52, Ewhayeodae-gil, Seodaemun-gu, Seoul 03760 Republic of Korea,  Tel +82-2-3277-21
82232777176
","jy1101@ewha.ac.kr, admission@ewha.ac.kr, gsc@ewha.ac.kr,oia.ewha.ac.kr

","Cho Ji Young( INTl Aff),Choi, Kyunghee
Ewha
President"," 
"
"KONKUK UNIVERSITY,120 Neungdong-ro, Gwangjin-gu, Seoul, Korea (05029)
Tel: +82-2-450-3114,+82-2-2049-6212,+82-2-2049-6213,+82-2-2049-6214
",abroad@konkuk.ac.kr," Heeyoung Song, Ph.D.
President, Konkuk University,Kyung-hee Kim
Chairperson,
",
"DONGDUK WOMENS UNIVERSITY, 23-1 Wolgok-dong, Sungbuk-gu, Seoul, Korea
• Tel : 82-940-415
• Tel : 82-940 - 4578
 TEL:82-2-940-4000,82-2-940-4838
","master@dongduk.ac.kr, seo07@dongduk.ac.kr","The President of Dongduk Women's University
Kim, Nakhoon Ph.D.
 
",
HANKUK UNIVERSITY OF FOREIGN STUDIES,acdemicchoigo-go@hufs.ac.kr;adms@hufs.ac.kr;intluga@hufs.ac.kr;asker@hufs.ac.kr;hufsgsias@hufs.ac.kr;steve@hufs.ac.kr;international@hufs.ac.kr;,"Kim In Chul
10th President of Hankuk University of Foreign Studies
",
"YONSEI UNIVERSITY,21233228,21233254,21236492",kahac@yonsei.ac.kr; sap@yonsei.ac.kr;gmba@yonsei.ac.kr; isss@yonsei.ac.kr; ysklijp@yonsei.ac.kr,,
"CHUNG-ANG UNIVERSITY,
TEL- +82-2-820-6396
","international@cau.ac.kr;
outbound@cau.ac.kr (outgoing students)
inbound@cau.ac.kr (incoming students)",Dean of External Affairs Dr. Sam-Yong Kim,
"HONG-IK UNIVERSITY,
Tel. 82-2-320-1114,+82-2-320-1043,+82-2-320-1043, +82-2-320-1056~8, +82-2-320-1056~8
",webmaster@hongik.ac.kr; jamesbae@hanmail.net,"President of Hongik University
Kim, Young-Hwan
",
UNIVERSITY OF NORTH KOREAN STUDIES,rem6707@kyungnam.ac.kr;mykim@kyungnam.ac.kr;choibh@kyungnam.ac.kr;mylee@kyungnam.ac.kr;cmh78@kyungnam.ac.kr;field24@kyungnam.ac.kr,"SONG, Minsoon
President, University of North Korean Studies
",
"DIGITAL SEOUL CULTURE ARTS UNIVERSITY,
Seoul campus: 121- 040 Dohwa-dong,Seoul, Korea,
+8215440981
","
go@sdu.ac.kr

",,
"KYUNGB HEE CYBER UNIVERSITY,26 Kyunghee-daero, Dongdaemun-gu, Seoul , Korea 130-739  Tel  +82-2-968-2233  ,02-3299-8881,02-3299-8755 ,02-959-0000 ,02-3299-8799,02-3299-8700",kyomu@khcu.ac.kr;hakseng@khcu.ac.kr;admission@khcu.ac.kr;oia@khcu.ac.kr;cyberedu@khcu.ac.kr;,"Dr. Inwon Choue, President",
