College/university/institute name,"Location,Address,Phone",Email,Remark
"City University
","Type: Private University.                 Location: Dhaka.13/A, Panthapath, Dhaka-1215, Bangladesh
Phone: 9129923, 9143757, 9821351, 9821348 Extn:112
Cell: 01819813111
"," frs1101@yahoo.com
arcityuniversity@gmail.com
",
" Cox's Bazar International University
","Type: Private University.                 Location: Cox's Bazar. Dynamic Cox Kingdom
Kolatoli Circle,
Cox’s Bazar- 4700
Tel : +880 341 52510 
Cell: +880 1762686274-5 
Fax: +880 341 52511 
",cbiu.bd@gmail.com,
" Daffodil International University
","Type: Private University.                 Location: Dhaka. 102 Shukrabad, Dhanmondi, Dhaka-1207 ( Ground Floor )
Phone: +88 02 9138234-5, 
+88 02 9136694, +88 02 9116774  Ext.: 105
Cell: +88 01713493050  
Fax: 88-02-9131947
","counselor@daffodilvarsity.edu.bd; admission@daffodilvarsity.edu.bd
",
"Darul Ihsan University
","Type: Private University.                 Location: Dhaka.BNS Center
Plot # 87(13th Floor), Sector-7,
Dhaka Mymensingh Road, 
Uttara, Dhaka-1230, Bangladesh
Tel: 88-02-7911427, 88-02-7911428, 
Cell: 01822-022100, 01741-228824
","info@diubd.edu.bd, 
Website: www.diubd.edu.bd
",
"Dhaka International University
","Type: Private University.                 Location: Dhaka.Address: Shatarkul, Badda, Dhaka. Bangladesh.
Mobile: 017-32764871 
Fax: +88-02-9871556 
Web: www.diu.ac, www.diu.net.bd, www.diu-bd.net
","info@diu.net.bd, inf@diu-bd.net ",
"East Delta University
","Type: Private University.                 Location: Chitthagong. 1267/A, Goshaildanga, Agrabad
Chittagong, Bangladesh
Phone : +88 0312 514441-3
Phone : +88 0312-558645-6
Phone : + 88 01714 102062
Phone : + 88 01750 000994
", enquiry@eastdelta.edu.bd,
" East West University
","Type: Private University.                 Location: Dhaka.A/2, Jahurul Islam Avenue | Jahurul Islam City | Aftabnagar |
Dhaka-1212 | Bangladesh
9858261, 09666775577
Mobile
01755587224
","admissions@ewubd.edu; info@ewubd.edu
",
"Eastern University
","Type: Private University.                 Location: Dhaka.House 26, Road 5
Dhanmondi, Dhaka-1205
Phone:+88029676031-5
Fax: +8802967 5981
"," registrar@easternuni.edu.bd
",
"European University of Bangladesh (EUB)
","Type: Private University.                 Location: Dhaka.Main Campus:
Rupayan Shelford, Plot # 23/6, 
Block- B, Mirpur Road,
Shyamoli, Dhaka- 1207.
Tel: +88 02 9110847
",,
"Fareast International University (FIU)
","Type: Private University.                 Location: Dhaka.R.S.R Tower, House # 50, Road # 11, Block - C
Banani, Dhaka-1213, Bangladesh
+88 02 9891453, +88 02 9891576, +88 02 9885165
Mobile :        +88 01986 810710, +88 01986 810610
Fax :        +88 02 9891845
"," info@fiu.edu.bd
",
"Feni University
","Type: Private University.                 Location: Feni.Trunk Road, Feni-3900
Mobile: 01865041804-5 , Phone: 0331-62194 , Fax: 0331-62194
 www.feniuniversity.edu.bd
",registrar@feniuniversity.edu.bd; ,
" First Capital University of Bangladesh
","Type: Private University.                 Location: Chuadanga. Shahnaz Mansion, Alamdanga Road (Pouro College Para), Chuadanga-7200
Contact No :
Tel. Phone No- 076162722, 076164199
Mob. No- 01967595429, 01983278199
Web : www.fcubd.net
","first_capital_bd@yahoo.com, OR, info@fcubd.net ",
"German University Bangladesh University 
","Type: Private University.                 Location: Gazipur. Building, 38 Telepara,
T & T Road, Chandana Chowrasta Gazipur Sadar - 1702
Dist: Gazipur, Bangladesh.
Phone: 008802 929 4511, +88-02-8870694", info@gub.edu.bd,
"Green University of Bangladesh
","Type: Private University.                 Location: Dhaka. Admissions office: 220/D, Begum Rokeya Sarani ( 300 meter North Side of IDB Bhaban), Dhaka -1207, Bangladesh. 
Phone : 9014725, 8031031   8060116.   
Cell : 1757074304,    01757074302,  01757074303, 01757074301, 01191758792, 01730713840, 01673197026
","admission@green.edu.bd
",
" IBAIS University
","Type: Private University.                 Location: Dhaka.House # 16, Road # 05, Sector # 04, Uttara, Dhaka-1230
+88-02-58955314, 58954899.
Fax No +88-02-58955999
Cell Number: +88 01797-765691, +88 01797-765692
"," ibaiszl@bol-online.com, registrar@ibais.edu.bd;
",
" Independent University, Bangladesh
","Type: Private University.                 Location: Dhaka.Plot 16 Block B, Aftabuddin Ahmed Road
Bashundhara R/A, Dhaka, Bangladesh
Phone:+88-02-8431645-53, 8432065-76
Fax: +88-02-8431991
"," info@iub.edu.bd
",
"International Islamic University Chittagong
","Type: Private University.                 Location: Chittagong. Kumira, Sitakunda, Chittagong, Bangladesh
Tel.: +88-03042-51153-61
",info@iiuc.ac.bd,
"Ishakha International University
","Type: Private University.                 Location: Kishoreganj. 461, Nilganj Road, Sholakia,
Kishorganj-2300, Bangladesh.

Cell: +8801193199468, +8801193198745, +8801977181318, +8801776181318
","info@ishakha.edu.bd | ishakhauniversity@gmail.com
",
"Khwaja Yunus Ali University
","Type: Private University.                 Location: Sirajgonj. Vill: Enayetpur P.O: Enayetpur
Post Code: 6751 P.S: Enayetpur Sharif
Upazila: Chowhali, Dist.: Sirajgonj
Phone: +880 7516 3682-4
Fax:     +880 7516 3867
Mobile: +880 191 547 7847
", info@kyau.edu.bd.com ,
"Manarat International University
","Type: Private University.                 Location: Dhaka.Plot#CEN-16, Road # 106
Gulshan-2, Dhaka1212
Bangladesh
Phone: 0255060025, 029884736, 029862251, 8817525
Fax: 0255059924, 01780364414
","info@manarat.ac.bd
admission@manarat.ac.bd
",
"Metropolitan University
","Type: Private University.                 Location: Sylhet. Zindabazar, Sylhet-3100, Bangladesh
 Telephone: +88-0821-713077-8
 Fax: +88-0821-713304
"," info@metrouni.edu.bd
",
"North Bengal International University
","Type: Private University.                 Location: Rajshahi. Dainik Barta Complex, 3rd & 4th Floor,
 Alupatti, Boalia, Rajshahi-6100, Bangladesh.
Tel: +88 0721 773561
Cell: +88 01789 908612
"," info@nbiu.edu.bd
",
" North East University Bangladesh
","Type: Private University.                 Location: Sykhet. Telihaor, Sheikhghat
Sylhet,3100
Bangladesh
Phone:
0821 710221-2
Fax:
0821 710223
Mobile:
01755566994
","info@neub.edu.bd; neubedu@gmail.com
",
"North South University
","Type: Private University.                 Location: Dhaka.Plot # 15, Block # B, Bashundhara R/A
Dhaka-1229, Bangladesh
Phone:+880-2-55668200
Fax: +880-2-55668202
"," registrar@northsouth.edu
",
"North Western University
","Type: Private University.                 Location: Khulna. 236, M.A Bari Road, Sonadanga, Khulna, Bangladesh.
Phone: 041-730807-9, Cell: 01755-226611, 01970-226611
Fax : 041-722744, ", info@nwu.edu.bd,
"Northern University Bangladesh
","Type: Private University.                 Location: Dhaka.Sher Tower, Holding #13, Road #17, Banani C/A, Dhaka

Tel: 9821493-5, & 9898521 (Ext- 400, 401 & 402)
Phone: 01755514650, 01755514651, 01755514652
"," info@nub.ac.bd
",
"Notre Dame University Bangladesh
 ","Type: Private University.  Location: Dhaka.               2 Arambag, Motijheel, GPO Box - 7
        DHAKA-1000
        BANGLADESH
 : +880-2-7192672, +880-2-7192675 
 : +8801781 910129
"," info@ndub.edu.bd, registrar@ndub.edu.bd
",
"Port City International University
","Type: Private University.                 Location: Chittagong.7 - 14, Nikunja Housing Society, South Khulshi, Chittagong, Bangladesh
Tel: 88 031-2869877, 88 031-2869899
Mobile: 01773225500, 01773225511, 01851120791
Fax:  +880312869966
"," portcityuniversity@gmail.com ; 
",
"Premier University
","Type: Private University.                 Location: Chittagong. 1/A,O.R.Nizam Road,Prabartak Circle, Panchlish, Chittagong.
Phone: 031-656917, 031-657654 , 656612-15.
Fax: 031-657892
",info@puc.ac.bd,
"Presidency University
","Type: Private University.                 Location: Dhaka.11/A, Road 92, Gulshan, Dhaka 1212
Tel: (02)-9857617 / 8, (02)-8831182-4
", info@presidency.edu.bd,
"PRIME UNIVERSITY
","Type: Private University.                 Location: Dhaka.2A/1, North East of Darus Salam Road,
Mirpur
Dhaka 1216, Bangladesh.
Tel : PABX: 88-02-9025649, 9038778,8055646
Mobile : 01687-191986, 01939-425030, 01776-234984, 01712-675595
Fax: 880-2-9025649
","info@primeuniversity.edu.bd
",
" Primeasia University
 ","Type: Private University.                 Location: Dhaka.12, Kemal Ataturk Avenue,
Banani, Dhaka - 1213,
Bangladesh.
(+880)-2-9822133,
 (+880)-2-9821499,
 (+880)-2-9821500,
01777676548,
",info@primeasia.edu.bd,
"Rajshahi Science & Technology University
","Type: Private University.                 Location: Rajshahi.VIP Tower, Holding # 112,
Dhaka Road, Bara Harishpur,
Natore Sadar, Natore - 6400.
Cell: 01713-303183, 01786899445-47, 
Phone & Fax: 077161496, 
","rstuniversity@yahoo.com
",
"Ranada Prasad Shaha University (RPSU)
","Type: Private University.                 Location: Narayangonj. 86, Sirajuddowlah Road, Naryanganj-1400, Bangladesh
Phone: 02-7633545-46, , Fax: 02-7365024
tel.: (02) 7365000 
mobil: (+88) 01938809909 
","info@rpsu.edu.bd
admissions@rpsu.edu.bd
",
" ROYAL UNIVERSITY OF DHAKA
","Type: Private University.                 Location: Dhaka.House No# 2, Road No#10, Block # E,
Banani, Dhaka -1213
+ Tel: +880-2-9886150
+ Tel: +880-2-9841628
+ Mob: +88017-98660036
+ Mob: +88017-98660037
",info@royal.edu.bd,
"Shanto-Mariam University of Creative Technology
","Type: Private University.                 Location: Dhaka.House# 01, Road# 14, Sector# 13,Uttara, Dhaka -1230, Bangladesh
 Phone: +88 02 7912713, +88 02 7912714, +88 02 7914596, +88 02 8932368, +88 02 58958932
 Fax: Fax : +88 8915308
","info@smuct.edu.bd
",
"Sheikh Fazilatunnessa Mujib Fisheries College,
","Type: Private University.                 Location: JamalpurMalancha, Melandah, Jamalpur.
Mobile No : +8801711613301(principal)
",sfmfc.ban@gmail.com,
"Sonargaon University
","Type: Private University.                 Location: Dhaka.147/i, Panthapath, Green Road, Dhaka
Phone:+88028189637-8 
Cell: 01767 777 222, 01775 000 888, 
01780 33 00 66, 01780 33 00 55, 
","admission@su.edu.bd
",
"Southeast University
","Type: Private University.                 Location: Dhaka.251/A and 252 
Tejgaon Industrial Area 
Dhaka-1208
: 01911781327, 01747667864, 01931579230
Tel: 55034135, 55034192, 55034125, 55034126, 55034127, 55034128
","admission@seu.ac.bd;
dyrhr@seu.ac.bd;
Public Relation pro@seu.ac.bd;
Career Services dcs@seu.ac.bd;
",
"Southern University Bangladesh
","Type: Private University.                 Location: Chittagong.739/A, Mehedibag Road, Chittagong, Bangladesh. 
 +880 31 2851336-9,+880 31 626744 +880 31 2851340
 ",info@southern.edu.bd,
"Stamford University Bangladesh
","Type: Private University.                 Location: Dhaka.744, Satmosjid Road, Dhanmondi 
Dhaka-1209, Bangladesh 
Tel : 58155834, 58151469, 58156122,9124161 
Fax : 880-2-9143531
",admission@stamforduniversity.edu.bd,
"State University of Bangladesh
","Type: Private University.                 Location: Dhaka.77, Satmasjid Road Dhanmondi, Dhaka 1205, Bangladesh
Landphone : +880-2-58151781-5, 9128329, 9140960, 09613782338
Hotline : 01766661555, 01766663557
Mobile : 01766663556, 01766663557, 01766663558
","info@sub.edu.bd
",
"Sylhet International University
","Type: Private University.                 Location: Sylhet. SHAMIMABAD, BAGHBARI 
SYLHET, BANGLADESH
+880 821 720771 
+880 821 717193
+880 821 725644
+880 1754 313 182
","info@siu.edu.bd
",
"The Millennium University
","Type: Private University.                 Location: Dhaka.5 Momenbagh, Rajarbag,
Dhaka 1217.
Phone : 02 9360836, 9330323
FAX : +88 02 9331589
",info@themillenniumuniversity.edu.bd,
"THE PEOPLE’S UNIVERSITY OF BANGLADESH (PUB)
","Type: Private University.                 Location: Dhaka.3/2, Block-A Asad Avenue, Mohammadpur, Dhaka-1207
Phone: 9117454 -100,113 (Admission-Information). 9130726, 8951625
Mobile: 01923952937, 01766621386, 01835942848, 01685227772, 01192084032, 01716723931
Fax: 9128009
",info@pub.ac.bd,
"The University of Asia Pacific
","Type: Private University.                 Location: Dhaka.74/A , Green Road , Dhaka - 1215, Bangladesh
Telephone: +8802-9126812 PABX: +8802-58157091-4,
+8802-58157096 (Ext - 0, 120) FAX:+8802-58157097
"," admission@uap-bd.edu; registrar@uap-bd.edu
",
"Times University Bangladesh
","Type: Private University.                 Location: Faridpur. Plot No- 651-52, 
west Khabashpur, Faridpur. 
Cell: 01771766591-4
",admission@times.ac.bd,
" United International University
","Type: Private University.                 Location: Dhaka.House # 80, Road # 8/A,
Mirza Golam Hafiz Road,
Dhanmondi, Dhaka-1209,
Bangladesh.
 +88(02) 9125913-6, 9144151, 9118213
+88(02) 9118170
","info@uiu.ac.bd
admission@uiu.ac.bd
",
"University of Development Alternative (UODA)
","Type: Private University.                 Location: Dhaka.80, Satmosjid Road, Dhanmondi, Dhaka - 1209
Phone: +88 02 9145741, +88 01684 022585, +88 02 9138210
",registrar@uoda.edu.bd,
" University of Information Technology and Sciences
","Type: Private University.                 Location: Dhaka.Jamalpur Twin Tower (Tower 2), GA-37/1 Progati Sarani 
Baridhara J-Block, Gulshan-2, Dhaka -1212, Bangladesh. 
Phone : 880-2-8899752, Cell: 01938 832755, 01730 429655
","sukanu75@gmail.com; 
sakilamitu@yahoo.com
",
"University of Liberal Arts Bangladesh
","Type: Private University.                 Location: Dhaka.House 56, Rd 4/A @ Satmasjid Road Dhanmondi,
 Dhaka-1209, Bangladesh
Mobile: 01714-161613, 01713-091936 
Phone: 966-1255 Fax: +88-02-9660610
","communications@ulab.edu.bd;
registrar@ulab.edu.bd
",
" University of Science and Technology Chittagong
","Type: Private University.                 Location: Chittagong. Foy's Lake, Chittagong-4202. Bangladesh.
Phone : 88-031-659070-71, 659593-94, Fax : 88-031-659545
","ustc.ctg@gmail.com, info.ctg@ustc.ac.bd
",
"University of South Asia
","Type: Private University.                 Location: Dhaka.House 78, Road 14, Block B, Banani, Dhaka, Bangladesh
Phone : 02 55034091-2, 0176 3030636, 
0168 6265125, 0196 6459818 
"," admission@southasia-uni.org, 
mail@southasia-uni.org
",
"Uttara University
","Type: Private University.                 Location: Dhaka.House-4, 5 & 6, Road-15, Sector-6, Uttara Model Town, Uttara, Dhaka-1230.
Phone: 58952280, 58951116, 58955794
Mobile: 01706643282, 01932357444
Fax: 58952047
","info@uttarauniversity.edu.bd
",
"Varendra University
","Type: Private University.                 Location: Rajshahi. Kazla, Motihar, Rajshahi-6204 
Telephone: 0721-751274, 0721-751459 
Mobile: 0173-0406501-4 
Fax : 880721-750748
","info@vu.edu.bd 
",
"Victoria University of Bangladesh
","Type: Private University.                 Location: Dhaka.Admission Office: 69/K Panthapath,Dhaka 1205, Bangladesh
Phone: 8622634.
Mobile: 01841-000005
 ","info@vub.edu.bd
",
"World University of Bangladesh
","Type: Private University.                 Location: Dhaka.lot - 3/A, Road - 4 Dhanmondi,
Dhaka - 1205
Tel: (0088 02) 961 1410,
(0088 02) 961 1411 - 3;
EXT -- 111, 112
",info@wub.edu.bd,
"Bangabandhu Sheikh Mujib Medical University (BSMMU)
","Type: Public University.                 Location: Dhaka.Shahbag, Dhaka-1000.
+88 02 55165760-94, +88 02 9661065, +88 02 8624816
","vc@bsmmu.edu.bd; 
",
"Bangabandhu Sheikh Mujibur Rahman Agricultural University 
","Type: Public University.                 Location: Gazipur.Salna,Gazipur-1706, Bangladesh.
+8802 9205323 PABX: +8802 9205
","registrar@bsmrau.edu.bd
",
"Bangabandhu Sheikh Mujibur Rahman Science & Technology University,
","Type: Public University.                 Location: Gopalgonj.Gopalganj 8100, Dhaka, 
Bangladesh
Phone: 02-6682257
"," registrar@bsmrstu.edu.bd
",
" Bangladesh Agricultural University
","Type: Public University.                 Location: Mymensingh. Mymensingh-2202, Bangladesh
Phone: (091)67401-6, 66016-18
FAX: +880-91-61510
"," registrar@bau.edu.bd
",
"Bangladesh Open University
Registrar (In Charge)
","Type: Public University.                 Location: Gazipur. Bangladesh Open University
Board Bazar, Gazipur-1705, Bangladesh
Phone: 88 02 9291112, PABX 88 02 9291101-4/211
Fax: 88 02 9291130, 
","regi@bou.edu.bd; registrar@bou.edu.bd
",
"Bangladesh University of Engineering & Technology
","Type: Public University.                 Location:Dhaka. Dhaka-1000
                   Bangladesh
Fax :              (880 2) 8613046
PABX :           (880 2) 55167100, 55167228-57",vcoffice@vc.buet.ac.bd ; ,
"Bangladesh University of Professionals(BUP) 
","Type: Public University.                 Location:Dhaka.Mirpur Cantonment, Dhaka-1216, Bangladesh 
Tel:88-02-8000368 
PABX 8000261-4 
Fax: 8000443 
","info@bup.edu.bd
",
"Bangladesh University of Professionals(BUP) 
","Type: Public University.                 Location:Dhaka.Mirpur Cantonment, Dhaka-1216, Bangladesh 
Tel:88-02-8000368 
PABX 8000261-4 
Fax: 8000443 
","info@bup.edu.bd
",
"Begum Rokeya University, Rangpur 
","Type: Public University.                 Location: Rangpur. Rangpur-5400, Bangladesh
Phone: PABX : 0521-66706
FAX : 0521-64946 
",,
"Chittagong University of Engineering and Technology 
","Type: Public University.                 Location: Chittagong. Chittagong - 4349
Phone: 031-714946, 31-714911, , Fax: 031-714910 
",,
"Chittagong Veterinary & Animal Science University 
","Type: Public University.                 Location: Chittagong. Zakir Hossain Road, Khulshi, Chittagong 4225
Phone: 031-659492-3, 659093, 01712-771827, Fax: 031-659620 
",,
"Comilla University 
","Type: Public University.                 Location: Comilla. Kotbari, Comilla 3506
Bangladesh
081-70045     081-70035
",registrar@cou.ac.bd,
" Dhaka University 
","Type: Public University.                 Location:Dhaka.Ramna, Dhaka - 1000
Phone: 02-9661900-19, 02-9661920-59,
 Fax: 02-9667222
",,
"Dhaka University of Engineering and Technology 
","Type: Public University.                 Location: Gazipur. Gazipur-1700
Phone: 02-9204734-43, , Fax: 02-9204701-2
",,
"Hajee Mohammad Danesh Science and Technology University (HSTU)
","Type: Public University.                 Location: Dinajpur. Dinajpur-5200, Bangladesh
Phone: +880-531-61355
","Bikash@hstu.ac.bd,
 jahangirmasum@yahoo.com
",
"Islamic Arabic University
","Type: Public University.                 Location:Dhaka.12422, West Dhanmondi Main Road, bachila 
Block-A, Road No -03 
Mohammadpur, Dhaka.
Telephone: 55000274 - 76.78 
","iaudhaka@gmail.com
",
"Islamic University 
","Type: Public University.                 Location: Kushtia. Shantidanga,Dulalpur,Kushtia-7003
Tel:+88 071 74904 (off)
Mob:+880 1712 244080
Fax:+880 71 74905
",registrar@iu.ac.bd,
"Jagannath University 
","Type: Public University.                 Location:Dhaka.9-10, Chittaranjan Avenue, Dhaka-1100
Phone: 02-7119731, , Fax: 02-7113752 
",info@jnu.ac.bd,
"Jahangirnagar University
","Type: Public University.                 Location:Dhaka.Savar, Dhaka-1342, Bangladesh.
880-2-7791040 (Off.)
Fax            : 880-2-7791052
PABX      : 880-2-7791045-51; Ext.- 1204 (Off.)
","registrarju@gmail.com,  or,
    registr@juniv.edu
",
"Jatiya Kabi Kazi Nazrul Islam University  
","Type: Public University.                 Location: mymensingh. Trishal (Namapara, Battala), Mymansingh-2220
Phone: 09032-56270, , Fax: 09032-56270 
: 09032-56212, 56214, 56217, 56245, 56247, 56248, 56271
Fax : 09032-56270
",contact@jkkniu.edu.bd,
"Jessore University of Science and Technology (JUST)
","Type: Public University.                 Location: Jessore. Shadhinota Shorok (Independence Road), Jessore-7408, Bangladesh 
Tel: +880-421-61097, 61098, 62020, 62030, 62080, 63270, 63280
Fax: 0421-61199, 0421-62238
","vc@just.edu.bd, registrar@just.edu.bd
",
"Khulna University 
","Type: Public University.                 Location: Khulna. Khulna-9208
Phone: 041-721791, 041-720171-3, , Fax: 041-731244 
",,
"Khulna University of Engineering & Technology (KUET),
 ","Type: Public University.                 Location: Khulna. Khulna-9203, Bangladesh.
Tel: (880 41) 769468-75 Fax: (880 41) 774403. 2015 |
 "," webmaster@kuet.ac.bd
",
"MAWLANA BHASHANI SCIENCE AND TECHNOLOGY UNIVERSITY
","Type: Public University.                 Location: Tangail. Santosh, Tangail - 1902.
Phone : +880921 51899
Fax : +880921 51900
"," registrar@mbstu.ac.bd
",
"National University 
","Type: Public University.                 Location: Gazipur. Board Bazar, Gazipur-1704
Phone: 09614-016429, 9291018-9, 9291020-3, 9291055, 
 ",registrar@nu.edu.bd,
"Noakhali Science And Technology University
","Type: Public University.                 Location: Noakhali. Sonapur, Noakhali-3814
Phone: 0321-71486, , Fax: 321-62788
",,
"Rajshahi University 
              "," Type: Public University.                 Location: Rajshahi.Motihar, Rajshahi 6205
             Te. off (0721) 750367, 4002: Res. 750992, 750041, 3002: Fax: (0721) 750064
              ","provc@ru.ac.bd
",
"Rajshahi University of Engineering & Technology
","Type: Public University.                 Location: Rajshahi.Kazla,Rajshahi-6204, Bangladesh. 
Fax : +88 (0721) 750105 
 (Ph) PABX : +88 (721) 750742-3, 751320-1
Website: www.ruet.ac.bd
",registrar@ruet.ac.bd,
"Rangamati Science & Technology University
              ","Type: Public University.                 Location: Rangamati. Vedvedi, Rangamati-4500
Phone: +880351-63893
Mobile: +8801704383642
","info@rmstu.edu.bd
",
"Sher-e-Bangla Agricultural University
           ","Type: Public University.                 Location:Dhaka.Sher-e-Bangla nagar, Dhaka 1207
 Hotline: 01756333051, 01756333052
Bashirul Islam
","webpage@sau.edu.bd
          info@sau.edu.bd
",
 Sylhet Agricultural University ,"Type: Public University.                 Location: Sylhet.Tilagore, Sylhet-3100 
Phone: 0821-760930, , Fax: 0821-761980
Md. Badrul Islam Shueb
Phone:  +88 0821 760930,
Mobile:  01711-951075, 01674-860170
","registrarsau2013@gmail.com
          badrulislamshueb@gmail.com
",
"University of Barisal 
","Type: Public University.                 Location: Barisal. Karnakati, Barisal, Bangladesh
Phone: 0431-2177431,
",,
"109. University of Chittagong 
","Type: Public University.                 Location: Chittagong. Chittagong-4331
Dr. Mohammed Kamrul Huda 
Registrar (In-charge) and Chairman of Botany 
+880-31-2606001-10, Ext. 4201, 4231,
 +880-31-717112, 01819-979279
","mkhuda70@hotmail.com 
",
