University Name,Country,Region
St. Catherine University,17,5
Fukui Prefectural University,17,5
Fukui University,17,5
Fukui University of Technology,17,5
Jin-ai University,17,5
Jin-ai Women's College,17,5
Tsuruga College,17,5
Chikushi Jogakuen University,17,5
College of Healthcare Management,17,5
Daiichi College of Pharmaceutical Sciences,17,5
Fukuoka College of Health Sciences,17,5
Fukuoka Dental College,17,5
Fukuoka International University,17,5
Fukuoka Institute of Technology,17,5
Fukuoka Jo Gakuin University,17,5
Fukuoka Junior College for Kindergarten Teachers,17,5
Fukuoka Social Medical Welfare University,17,5
Fukuoka University,17,5
Fukuoka University of Economics,17,5
Fukuoka Women's Junior College,17,5
Fukuoka Women's University,17,5
Higashi Chikushi Junior College,17,5
The Japanese Red Cross Kyushu International College of Nursing,17,5
Junshin Junior College,17,5
Junshin Women's Junior College,17,5
Kitakyushu Junior College,17,5
Kitakyushu University,17,5
Koran Women's Junior College,17,5
Kurume Institute of Technology,17,5
Kurume SHIN-AI Women's College,17,5
Kurume University,17,5
Kyushu Dental College,17,5
Kyushu Institute of Design,17,5
Kyushu Institute of Information Sciences,17,5
Kyushu International University,17,5
Kyushu Kyoritsu University,17,5
Kyushu Nutrition Welfare University,17,5
Kyushu Otani Junior College,17,5
Kyushu Sangyo University,17,5
Kyushu University,17,5
Kyushu Women's Junior College,17,5
Kyushu Women's University,17,5
Kyushu Zokei Art College,17,5
Nakamura Gakuen University,17,5
Nishi-nippon Junior College,17,5
Nishinippon Institute of Technology,17,5
Orio Aishin Junior College,17,5
Orio Woman Junior College Economics,17,5
Seika Women's Junior College,17,5
Seinan Gakuin University,17,5
Seinan Jo Gakuin University,17,5
Sojo University,17,5
St. Mary's Educational Foundation,17,5
Tohwa University,17,5
University of Occupational and Environmental Health,17,5
Fukushima College,17,5
Fukushima Medical University,17,5
Fukushima University,17,5
Higashi Nippon International University,17,5
Iwaki Junior College,17,5
Iwaki Meisei University,17,5
Koriyama Women's University,17,5
Nihon University College of Engineering,17,5
Ohu University,17,5
Sakura no Seibo Junior College,17,5
University of Aizu,17,5
Asahi University,17,5
Chubu Gakuin University,17,5
Chukyo Gakuin University,17,5
Chukyo Junior College,17,5
†Gifu City Women's College,17,5
Gifu College of Nursing,17,5
Gifu Junior College of Health Science,17,5
Gifu Keizai University,17,5
Gifu Pharmaceutical University,17,5
Gifu Shotoku Gakuen University,17,5
†Gifu Women's University,17,5
Gifu University,17,5
Gifu University of Medical Science,17,5
Institute of Advanced Media Arts and Sciences,17,5
Nakanihon Automotive College,17,5
Ogaki Women's College,17,5
Shogen Junior College,17,5
Takayama College of Car Technology,17,5
Tokai Gakuin University,17,5
Gunma Paz College,17,5
Gunma Prefectural College of Health Sciences,17,5
†Gunma Prefectural Women's University,17,5
Gunma Shorei Junior College of Welfare,17,5
Gunma University,17,5
Gunma University of Health and Welfare,17,5
Ikuei Junior College,17,5
Jobu University,17,5
Kanto Gakuen University,17,5
Kanto Junior College,17,5
Kiryu University,17,5
Maebashi Institute of Technology,17,5
Maebashi Kyoai Gakuen College,17,5
Meiwa Gakuen Junior College,17,5
Niijima Gakuen Junior College,17,5
Takasaki City University of Economics,17,5
Takasaki University of Commerce,17,5
Takasaki University of Commerce Junior College,17,5
Takasaki University of Health and Welfare,17,5
Tokyo University of Social Welfare,17,5
Toyo University Itakura Campus,17,5
"University of Creation; Art, Music & Social Work",17,5
Elisabeth University of Music,17,5
†Fukuyama City Junior College for Women,17,5
Fukuyama City University,17,5
Fukuyama Heisei University,17,5
Fukuyama University,17,5
Hijiyama University,17,5
Hiroshima Bunka Two-year College,17,5
Hiroshima Bunkyo Women's College Department of Junior College,17,5
Hiroshima Bunkyo Women's University,17,5
Hiroshima City University,17,5
Hiroshima Institute of Technology,17,5
Hiroshima International University,17,5
Hiroshima Jogakuin College,17,5
Hiroshima Kokusai Gakuin University,17,5
Hiroshima Shudo University,17,5
Hiroshima University,17,5
Hiroshima University of Economics,17,5
Hiroshima Women's University,17,5
Kure University,17,5
Onomichi City University,17,5
Prefectural University of Hiroshima,17,5
Sanyo Women's College,17,5
Suzugamine Women's College,17,5
Yasuda Women's University,17,5
Asahikawa Medical University,17,5
Asahikawa University,17,5
Chitose Institute of Science and Technology,17,5
Doto University Junior College,17,5
Fuji Women's Junior College,17,5
Future University Hakodate,17,5
Hakodate Otani College,17,5
Hokkai Gakuen University,17,5
Hokkaido Automotive Engineering College,17,5
Hokkaido Bunkyo University,17,5
Hokkaido College of Pharmacy,17,5
"Hokkaido College, Senshu University",17,5
Hokkaido Information University,17,5
Hokkaido Institute of Technology,17,5
Hokkaido Musashi Women's Junior College,17,5
Hokkaido University,17,5
Hokkaido University of Education,17,5
Hokusei Gakuen University,17,5
Kitami Institute of Technology,17,5
Koen Gakuen Women's Junior College,17,5
Kokugakuin Junior College,17,5
Kushiro Junior College,17,5
Kushiro Public University of Economics,17,5
Muroran Institute of Technology,17,5
Nayoro City University,17,5
Obihiro Otani Junior College,17,5
Obihiro University of Agriculture and Veterinary Medicine,17,5
Otaru University of Commerce,17,5
Rakuno Gakuen University,17,5
Sapporo City University,17,5
Sapporo Gakuin University,17,5
Sapporo International Junior College,17,5
Sapporo International University,17,5
Sapporo Otani Junior College,17,5
Sapporo Otani University,17,5
Sapporo University,17,5
Seisa University,17,5
†Tenshi Women's Junior College,17,5
Tomakomai Komazawa University,17,5
Wakkanai Hokusei Gakuen College,17,5
Ibaraki Christian University,17,5
Ibaraki Prefectural University of Health Sciences,17,5
Ibaraki University,17,5
Ibaraki Women's Junior college,17,5
Mito Junior College,17,5
Ryutsu Keizai University,17,5
Tokiwa University,17,5
Tokyo Kasei Gakuin Tsukuba Women's University,17,5
Tsukuba International Junior College,17,5
Tsukuba International University,17,5
University of Tsukuba,17,5
Ashiya Women's College,17,5
Ashiya University,17,5
"College of Nursing Art and Science, Hy?go",17,5
Himeji Dokkyo University,17,5
Himeji Hinomoto College,17,5
Himeji Institute of Technology,17,5
Hyogo College of Medicine,17,5
Hyogo University,17,5
Hyogo University of Teacher Education,17,5
Kansai University of International Studies,17,5
Kansai University of Nursing and Health Sciences,17,5
Kansai University of Social Welfare,17,5
Kinki Welfare University,17,5
Kobe City College of Nursing,17,5
Kobe City Junior College of Nursing,17,5
Kobe City University of Foreign Studies,17,5
Kobe College,17,5
Ashiya Women's College,17,5
Ashiya University,17,5
"College of Nursing Art and Science, Hy?go",17,5
Himeji Dokkyo University,17,5
Himeji Hinomoto College,17,5
Himeji Institute of Technology,17,5
Hyogo College of Medicine,17,5
Hyogo University,17,5
Hyogo University of Teacher Education,17,5
Kansai University of International Studies,17,5
Kansai University of Nursing and Health Sciences,17,5
Kansai University of Social Welfare,17,5
Kinki Welfare University,17,5
Kobe City College of Nursing,17,5
Kobe City Junior College of Nursing,17,5
Kobe City University of Foreign Studies,17,5
Kobe College,17,5
Kobe College of Liberal Arts,17,5
Kobe Design University,17,5
Kobe Gakuin University,17,5
Kobe Gakuin Women's Junior College,17,5
Kobe Institute of Computing,17,5
Kobe Kaisei Joshi Gakuin College,17,5
Kobe Shinwa Women's University,17,5
Kobe Shoin Women's University,17,5
Kobe Tokiwa Junior College,17,5
Kobe Tokiwa University,17,5
Kobe University,17,5
Kobe University of Fashion and Design,17,5
Kobe Women's Junior College,17,5
Kobe Women's Pharmacy College,17,5
Kobe Women's University,17,5
Kobe Yamate University,17,5
Konan University,17,5
Konan Women's University,17,5
Koshien Junior College,17,5
Koshien University,17,5
Kwansei Gakuin University,17,5
Minatogawa College,17,5
Mukogawa Women's University,17,5
Otemae Junior College,17,5
Otemae University,17,5
Seiwa College,17,5
Shoei Junior College,17,5
Shukugawa Gakuin Junior College,17,5
Shukugawa Gakuin College,17,5
Sonoda Gakuen Women's University,17,5
St. Thomas University,17,5
Takarazuka University,17,5
Toyo College of Food Technology,17,5
University of Hyogo,17,5
University of Marketing and Distribution Sciences,17,5
Ibaraki Christian University,17,5
Ibaraki Prefectural University of Health Sciences,17,5
Ibaraki University,17,5
Ibaraki Women's Junior college,17,5
Mito Junior College,17,5
Ryutsu Keizai University,17,5
Tokiwa University,17,5
Tokyo Kasei Gakuin Tsukuba Women's University,17,5
Tsukuba International Junior College,17,5
Tsukuba International University,17,5
University of Tsukuba,17,5
Hokuriku University,17,5
Ishikawa Prefectural Nursing University,17,5
Japan Advanced Institute of Science and Technology,17,5
Kanazawa College of Art,17,5
Kanazawa Gakuin College,17,5
Kanazawa Gakuin University,17,5
Kanazawa Institute of Technology,17,5
Kanazawa Medical University,17,5
Kanazawa Seiryo University,17,5
Kanazawa University,17,5
Kinjo University,17,5
Komatsu College,17,5
Seiryo Women's Junior College,17,5
Fuji University,17,5
Iwate College of Nursing,17,5
Iwate Medical University,17,5
Iwate Prefectural University,17,5
Iwate University,17,5
Morioka University,17,5
Shuko Junior College,17,5
Kagawa Junior College,17,5
Kagawa Prefectural College of Health and Sciences,17,5
Kagawa University,17,5
Setouchi Junior College,17,5
Shikoku Gakuin University,17,5
Takamatsu Junior College,17,5
Takamatsu University,17,5
Tokushima Bunri University Kagawa Campus,17,5
Daiichi Institute of Technology,17,5
Daiichi Junior College of Infant Education,17,5
The International University of Kagoshima,17,5
Kagoshima Immaculate Heart University,17,5
Kagoshima Prefectural College,17,5
Kagoshima University,17,5
Kagoshima Women's Junior College,17,5
National Institute of Fitness and Sports in Kanoya,17,5
Shigakukan University,17,5
Bunkyo University Women's College,17,5
Caritas Woman's Junior College,17,5
Chofu Gakuen Junior College,17,5
College of Foreign Studies Yokohama,17,5
Ferris University,17,5
Izumi Junior College,17,5
†Japan Women's University,17,5
Kanagawa Institute of Technology,17,5
Kanagawa Prefectural College of Foreign Studies,17,5
Kanagawa University,17,5
Kanagawa University of Human Services,17,5
Kanto Gakuin University,17,5
Kawasaki City College of Nursing,17,5
Kitasato University,17,5
Kokugakuin University,17,5
†Odawara Women's Junior College,17,5
Sagami Women's University ,17,5
Senshu University,17,5
Senzoku Gakuen College,17,5
Senzoku Gakuen Junior College,17,5
Shohoku College,17,5
Shoin University,17,5
Shonan Junior College,17,5
Showa University of Music,17,5
St. Cecilia Women's Junior College,17,5
St. Marianna University School of Medicine ,17,5
Tama University,17,5
Toin University of Yokohama ,17,5
Toyo Eiwa University ,17,5
Tsurumi University ,17,5
Yashima Gakuen University,17,5
Yokohama City University,17,5
Yokohama College of Art and Design,17,5
Yokohama College of Commerce,17,5
Yokohama National University,17,5
Kochi Gakuen College,17,5
Kochi University,17,5
Kochi University of Technology,17,5
†Kochi Women's University,17,5
Heisei College of Music,17,5
Kumamoto Gakuen University,17,5
Kumamoto Health Science University,17,5
Kumamoto University,17,5
Kyushu Lutheran College,17,5
Kyushu Tokai University,17,5
Kyushu University of Nursing and Social Welfare,17,5
Nakakyushu Junior College,17,5
Prefectural University of Kumamoto,17,5
Shokei College,17,5
Sojo University,17,5
Bukkyo University,17,5
Doshisha University,17,5
Doshisha Women's College of Liberal Arts,17,5
Hanazono University,17,5
Ikenobo College,17,5
Kacho Junior College,17,5
Kyoto Bunkyo Junior College,17,5
Kyoto Bunkyo University,17,5
Kyoto City University of Arts,17,5
Kyoto College of Art,17,5
Kyoto College of Economics,17,5
Kyoto College of Medical Technology,17,5
Kyoto Gakuen University,17,5
Kyoto Institute of Technology,17,5
Kyoto International University,17,5
Kyoto Junior College,17,5
Kyoto Municipal Junior College of Nursing,17,5
Kyoto Notre Dame University,17,5
Kyoto Pharmaceutical University,17,5
Kyoto Prefectural University,17,5
Kyoto Saga University of Arts,17,5
Kyoto Sangyo University,17,5
Kyoto Seika University,17,5
Kyoto Seizan College,17,5
Kyoto Sosei University,17,5
Kyoto University,17,5
Kyoto University of Education,17,5
Kyoto University of Foreign Studies,17,5
Kyoto Women's University & Junior College,17,5
Meiji University Of Oriental Medicine,17,5
Otani University & Junior College,17,5
Ritsumeikan University,17,5
Ryukoku University,17,5
Seibi Junior College,17,5
Seibi University,17,5
Seibo Jogakuin Junior College,17,5
Shuchiin Universi,17,5
Kogakkan University,17,5
Mie Chukyo University,17,5
Mie Prefectural College of Nursing,17,5
Mie University,17,5
Suzuka International University,17,5
Suzuka University of Medical Science,17,5
Yokkaichi University,17,5
Ishinomaki Senshu University,17,5
Miyagi Gakuin Women's College,17,5
Miyagi Seishin Junior College,17,5
Miyagi University,17,5
Miyagi University of Education,17,5
Seiwa Gakuen College,17,5
Sendai College,17,5
Sendai Shirayuri Women's College,17,5
Shokei Gakuin University,17,5
Tohoku Bunka Gakuen University,17,5
Tohoku Fukushi University,17,5
Tohoku Gakuin University,17,5
Tohoku Institute of Technology,17,5
Tohoku Pharmaceutical University,17,5
Tohoku Seikatsu Bunka College,17,5
Tohoku University,17,5
Kyushu University of Health and Welfare,17,5
Minami Kyushu Junior College,17,5
Minami Kyushu University,17,5
Miyazaki Gakuen Junior College,17,5
Miyazaki International College,17,5
Miyazaki Municipal University,17,5
Miyazaki Prefectural Nursing University,17,5
Miyazaki Sangyo-keiei University,17,5
Seishi Ursula Gakuen Junior College,17,5
University of Miyazaki,17,5
Iida Women's Junior College,17,5
Matsumoto Dental University,17,5
Matsumoto Junior College,17,5
Matsumoto University,17,5
Nagano College of Economics,17,5
Nagano College of Nursing,17,5
Nagano University,17,5
Nagano Women's Junior College,17,5
Saku University,17,5
"Science University of Tokyo, Suwa",17,5
Seisen Jogakuin College,17,5
Shinshu Honan Junior College,17,5
Shinshu Junior College,17,5
Shinsyu University,17,5
Ueda Women's Junior College,17,5
Kwassui Women's College,17,5
Nagasaki College of Foreign Languages,17,5
Nagasaki Gyokusei Junior College,17,5
Nagasaki Institute of Applied Science,17,5
Nagasaki International University,17,5
Nagasaki Junior College,17,5
Nagasaki Junshin University,17,5
Nagasaki Prefectural University,17,5
Nagasaki University,17,5
Nagasaki University of Foreign Studies,17,5
Nagasaki Wesleyan University,17,5
Nagasaki Women's Junior College,17,5
Siebold University of Nagasaki,17,5
Hakuho Women's College,17,5
Kinki University,17,5
Kio University,17,5
Nara College of Arts,17,5
Nara Institute of Science and Technology,17,5
Nara Medical University,17,5
Nara Prefectural University,17,5
Nara Saho College,17,5
Nara Sangyo University,17,5
Nara University,17,5
Nara University of Education,17,5
Nara Women's University,17,5
Narabunka Women's College,17,5
Tenri University,17,5
Tezukayama University,17,5
International University of Japan,17,5
Joetsu University of Education,17,5
Keiwa College,17,5
Meirin College,17,5
Nagaoka Institute of Design,17,5
Nagaoka University,17,5
Nagaoka University of Technology,17,5
Niigata Chuoh Junior College,17,5
Niigata College of Nursing,17,5
Niigata College of Technology,17,5
Niigata Institute of Technology,17,5
Niigata Sangyo University,17,5
Niigata Seiryo University,17,5
Niigata University,17,5
Niigata University of Health and Welfare,17,5
Niigata University of International and Information Studies,17,5
Niigata University of Management,17,5
Niigata University of Pharmacy and Applied Life Sciences,17,5
Niigata Woman's College,17,5
The Nippon Dental University College at Niigata,17,5
University of Niigata Prefecture,17,5
Beppu Mizobe Gakuen College,17,5
Beppu University,17,5
Beppu University Junior College,17,5
Higashikyushu Junior College,17,5
Nippon Bunri University,17,5
Oita Junior College,17,5
Oita Prefectural College of Arts and Culture,17,5
Oita University,17,5
Oita University of Nursing and Health Sciences,17,5
Ritsumeikan Asia Pacific University,17,5
Chugoku Gakuen University,17,5
Kawasaki College of Allied Health Professions,17,5
Kawasaki Medical School,17,5
Kawasaki Medical University,17,5
Kawasaki University of Medical Welfare,17,5
Kibi International University,17,5
Kibi International University Junior College,17,5
Kurashiki City College,17,5
Kurashiki Sakuyo University,17,5
Kurashiki University of Science and the Arts,17,5
Mimasaka College,17,5
Notre Dame Seishin University,17,5
Okayama College,17,5
Okayama Prefectural University,17,5
Okayama Shoka University,17,5
Okayama University,17,5
Okayama University of Science,17,5
Sanyo Gakuen College,17,5
Sanyo Gakuen University,17,5
Shujitsu University,17,5
Meio University,17,5
Okinawa Christian Junior College,17,5
Okinawa Christian University,17,5
Okinawa Institute of Science and Technology,17,5
Okinawa International University,17,5
Okinawa Prefectural College of Nursing,17,5
Okinawa Prefectural University of Arts,17,5
Okinawa University,17,5
Okinawa Women's Junior College,17,5
University of the Ryukyus,17,5
Aino University,17,5
Baika Women College,17,5
Hagoromo International University,17,5
Hannan University,17,5
Heian Jogakuin-St. Agnes'-University,17,5
Higashi Osaka College,17,5
Higashi Osaka Junior College,17,5
Kansai College of Oriental Medicine,17,5
Kansai Gaidai University (Kansai University of Foreign Languages),17,5
Kansai Medical University,17,5
Kansai University,17,5
Kansai University of Welfare Sciences,17,5
Kansai Women's College,17,5
Kinki University,17,5
"Kwansei Gakuin University, Osaka-Umeda",17,5
Momoyama Gakuin University,17,5
Morinomiya University of Medical Sciences,17,5
Osaka Aoyama Junior College,17,5
Osaka Chiyoda Junior College,17,5
Osaka Christian College,17,5
Osaka City University,17,5
Osaka College of Music,17,5
Osaka Dental University,17,5
Osaka Electro Communication University,17,5
Osaka Gakuin Junior College,17,5
Osaka Gakuin University,17,5
Osaka Institute of Technology,17,5
Osaka International University,17,5
Osaka Jogakuin College,17,5
Osaka Jonan Women's Junior College,17,5
Osaka Joshigakuen Junior College,17,5
Osaka Junior College of Social Health and Welfare,17,5
Osaka Kawasaki Rehabilitation University,17,5
Osaka Kun-ei Women's College,17,5
Osaka Kyoiku University,17,5
Osaka Medical College,17,5
Osaka Meijo University & Women's College,17,5
Osaka Ohtani College,17,5
Osaka Prefecture University,17,5
Osaka Sangyo University & Junior College,17,5
Osaka Seikei College,17,5
Osaka Shin-Ai College,17,5
Osaka Shoin Women's College,17,5
Osaka University,17,5
Osaka University of Arts,17,5
Osaka University of Commerce,17,5
Osaka University of Comprehensive Children education,17,5
Osaka University of Economics,17,5
Osaka University of Economics & Law,17,5
Osaka University of Foreign Studies,17,5
Osaka University of Health & Sport Sciences,17,5
Osaka University of Human Sciences,17,5
Osaka University of Pharmaceutical Sciences,17,5
Osaka University of Tourism,17,5
Osaka Women's Junior College,17,5
Osaka Yuhigaoka Gakuen Junior College,17,5
Otani Women's University,17,5
Poole Gakuin University,17,5
Sakai Women's Junior College,17,5
Seibo Assumption Junior College,17,5
Senri Kinran University,17,5
Setsunan University,17,5
Shijonawate Gakuen Junior College,17,5
Shijonawate Gakuen University,17,5
Shitennoji International Buddhist University,17,5
Shoin Higashi Junior Women's College,17,5
Soai University,17,5
Taisei Gakuin University,17,5
Tezukayama Gakuin University,17,5
Tokiwakai College,17,5
Tokiwakai Gakuen University,17,5
Kyushu Ryukoku Junior College,17,5
Nishikyushu University,17,5
Saga Junior College ? Nishikyushu University Junior College,17,5
Saga University,17,5
Saga Women's Junior College,17,5
Akikusa Gakuen Junior College,17,5
Bunkyo University,17,5
Bunri University of Hospitality,17,5
Daito Bunka University,17,5
Dokkyo University,17,5
Heisei International University,17,5
Institute of Technologists,17,5
Josai University,17,5
Jumonji University,17,5
Kawaguchi Junior College,17,5
Kokusai Gakuin Saitama Junior College,17,5
Kyoei Gakuen Junior College,17,5
Kyoei University,17,5
Musashino Gakuin University,17,5
Musashino Junior College,17,5
Nihon Institute of Medical Science,17,5
Nihon Pharmaceutical University,17,5
Nippon Institute of Technology,17,5
Saitama Gakuen University,17,5
Saitama Institute of Technology,17,5
Saitama Gakuen University,17,5
Saitama Institute of Technology,17,5
†Saitama Junshin Junior College,17,5
Saitama Medical University,17,5
Saitama Prefectural University,17,5
Saitama University,17,5
Saitama Women's Junior College,17,5
Seigakuin University,17,5
Shobi University,17,5
Surugadai University,17,5
Toho College of Music,17,5
Tohto College of Health Sciences,17,5
Tokyo International University,17,5
University of Human Arts and Sciences,17,5
Urawa University,17,5
Yamamura Gakuen College,17,5
Biwako Seikei Sport College,17,5
Heian Jogakuin University (St. Agnes University),17,5
Musashigaoka College,17,5
Nagahama Institute of Bio-Science and Technology,17,5
Newton College,17,5
Seian University of Art And Design,17,5
Seisen University,17,5
Shiga Bunkyo Junior College,17,5
Shiga Junior College,17,5
Shiga University,17,5
Shiga University of Medical Science,17,5
The University of Shiga Prefecture,17,5
Shimane University,17,5
University of Shimane,17,5
Fuji Tokoha University,17,5
Hamamatsu University,17,5
Seirei Christopher College of Nursing,17,5
Shizuoka Eiwa Gakuin University,17,5
Shizuoka Institute of Science and Technology,17,5
Shizuoka Sangyo University,17,5
Shizuoka University,17,5
Shizuoka University of Art and Culture,17,5
Shizuoka University of Welfare,17,5
Tokoha Gakuen Junior College,17,5
Tokoha Gakuen University,17,5
University of Shizuoka,17,5
Ashikaga Institute of Technology,17,5
Ashikaga Junior College,17,5
Bunsei University of Art,17,5
Hakuoh University,17,5
International University of Health and Welfare,17,5
Jichi Medical University,17,5
Kokugakuin Tochigi Junior College,17,5
Sakushin Gakuin University,17,5
Sano College,17,5
Utsunomiya Bunsei Junior College,17,5
Utsunomiya Junior College,17,5
Utsunomiya Kyowa University,17,5
Utsunomiya University,17,5
Naruto University of Education,17,5
Shikoku University,17,5
Tokushima Bunri University,17,5
Tokushima College of Technology,17,5
University of Tokushima,17,5
Aikoku Gakuen Junior College,17,5
Aoyama Gakuin University,17,5
†Aoyama Gakuin Women's Junior College,17,5
Asia University,17,5
Bunka Gakuen University,17,5
†Bunkyo Women's College,17,5
Chuo University,17,5
Daito Bunka University,17,5
Gakushuin University,17,5
†Gakushuin Women's College,17,5
Globis University Graduate School of Management,17,5
Hitotsubashi University,17,5
Hosei University,17,5
Hoshi University,17,5
International Christian University,17,5
International College for Advanced Buddhist Studies,17,5
Japan Lutheran College,17,5
Japan Women's College of Physical Education,17,5
Japan Women's University,17,5
Japanese Red Cross College of Nursing,17,5
Joshibi University of Art and Design,17,5
Keio University,17,5
Keisen University,17,5
Kogakuin University,17,5
Kokugakuin University,17,5
Kokusai Junior College,17,5
Kokushikan University,17,5
Komazawa University,17,5
Komazawa Women's Junior College,17,5
Kunitachi College of Music,17,5
Kyorin University,17,5
Lakeland College Japan,17,5
Meiji Gakuin University,17,5
Meiji University,17,5
Meisei University,17,5
Mejiro University,17,5
Musashi Institute of Technology,17,5
Musashi University,17,5
Musashino Academia Musicae,17,5
Musashino Art University,17,5
Musashino University,17,5
National Graduate Institute for Policy Studies,17,5
Nihon Bunka College,17,5
Nihon University,17,5
Nippon Dental University,17,5
Nippon Medical School,17,5
Nippon Sport Science University,17,5
Nippon Veterinary & Zoo Technical College,17,5
Nishogakusha University,17,5
†Ochanomizu University,17,5
†Otsuma Women's University,17,5
Rikkyo University (St. Paul's University),17,5
Rissho University,17,5
Sanno University,17,5
Science University of Tokyo,17,5
Seibi Gakuen College,17,5
Seijo University,17,5
Seikei University,17,5
†Seisen University,17,5
Senshu University,17,5
Shibaura Institute of Technology,17,5
Shiraume Gakuen College,17,5
Shirayuri Women's University,17,5
Showa Women's University,17,5
Shukutoku Junior College,17,5
Soka University,17,5
†Soka Women's College,17,5
Sophia University[78],17,5
St. Luke's College of Nursing,17,5
†St. Margaret's Junior College,17,5
Sugino Fashion College,17,5
Taisho University,17,5
Takachiho University,17,5
Takushoku University,17,5
Tama Art University,17,5
Teikyo University,17,5
Temple University Japan,17,5
Toho Gakuen School of Music,17,5
Toho Junior College of Music,17,5
Toho University,17,5
Toita Women's College,17,5
T?kai University,17,5
Tokyo Bunka Junior College,17,5
Tokyo College of Music,17,5
Tokyo College of Transport Studies,17,5
Tokyo Denki University,17,5
Tokyo Fuji University,17,5
Tokyo Future University,17,5
Tokyo Institute of Polytechnics,17,5
Tokyo Institute of Technology,17,5
Tokyo International College,17,5
†Tokyo Jogakkan College,17,5
Tokyo Junshin University,17,5
Tokyo Kasei-Gakuin Junior College,17,5
Tokyo Kasei University,17,5
Tokyo Keizai University,17,5
Tokyo Management College,17,5
Tokyo Medical and Dental University,17,5
Tokyo Medical University,17,5
Tokyo Metropolitan University,17,5
Tokyo National University of Fine Arts and Music,17,5
Tokyo Rissho Junior College,17,5
Tokyo Seitoku College,17,5
Tokyo University of Agriculture,17,5
Tokyo University of Agriculture and Technology,17,5
Tokyo University of Foreign Studies,17,5
Tokyo University of Marine Science & Technology,17,5
Tokyo University of Pharmacy and Life Sciences,17,5
Tokyo University of Science,17,5
Tokyo University of Technology,17,5
†Tokyo Woman's Christian University,17,5
†Tokyo Women's College of Physical Education,17,5
†Tokyo Women's Junior College of Physical Education,17,5
