ORGANIZATION,REGION,COUNTRY
,5,28
,5,28
,5,28
,5,28
,5,28
,5,28
,5,28
Yuan Ze University,5,28
,5,28
Aletheia University,5,28
,5,28
Asia University,5,28
Chang Gung University,5,28
Chang Jung Christian University,5,28
Chinese Culture University,5,28
China Medical University,5,28
Chung Hua University,5,28
Chung Shan Medical University,5,28
Chung Yuan Christian University,5,28
CTBC Financial Management College,5,28
Dayeh University,5,28
Feng Chia University,5,28
Fo Guang University,5,28
Fu Jen Catholic University,5,28
Hsuan Chuang University,5,28
Huafan University,5,28
I-Shou University,5,28
Kainan University,5,28
Kaohsiung Medical University,5,28
Mackay Medical College,5,28
Ming Chuan University,5,28
MingDao University,5,28
Nanhua University,5,28
Providence University,5,28
Shih Chien University,5,28
,5,28
Shih Hsin University,5,28
Soochow University,5,28
Taipei Medical University,5,28
Taiwan Shoufu University,5,28
Tamkang University,5,28
Tatung University,5,28
Toko University,5,28
Tunghai University,5,28
Tzu Chi University,5,28
University of Kang Ning,5,28
Yuan Ze University,5,28
Central Taiwan University of Science and Technology,5,28
Chang Gung University of Science and Technology,5,28
,5,28
Chaoyang University of Technology,5,28
Cheng Shiu University,5,28
Chia Nan University of Pharmacy and Science,5,28
Chien Hsin University of Science and Technology,5,28
Chienkuo Technology University,5,28
China University of Science and Technology,5,28
China University of Technology,5,28
Chung Chou University of Science and Technology,5,28
Chung Hwa University of Medical Technology,5,28
Far East University,5,28
Fooyin University,5,28
Hsing Wu University,5,28
Hsiuping University of Science and Technology,5,28
Hungkuang University,5,28
Jinwen University of Science and Technology,5,28
Kao Yuan University,5,28
Kun Shan University,5,28
Ling Tung University,5,28
Lunghwa University of Science and Technology,5,28
Meiho University,5,28
Ming Chi University of Technology,5,28
Minghsin University of Science and Technology,5,28
Nan Kai University of Technology,5,28
Overseas Chinese University,5,28
Southern Taiwan University of Science and Technology,5,28
St. John's University,5,28
Shu-Te University,5,28
Ta Hwa University of Science and Technology,5,28
Tainan University of Technology,5,28
Taipei Chengshih University of Science and Technology,5,28
Tajen University,5,28
Takming University of Science and Technology,5,28
TransWorld University,5,28
Tungnan University,5,28
Vanung University,5,28
WuFeng University,5,28
Yu Da University,5,28
Yuanpei University,5,28
Asia-Pacific Institute of Creativity,5,28
Chihlee Institute of Technology,5,28
Ching Kuo Institute of Management and Health,5,28
Chungyu Institute of Technology,5,28
Dahan Institute of Technology,5,28
De Lin Institute of Technology,5,28
Fortune Institute of Technology,5,28
Hwa Hsia Institute of Technology,5,28
Lan Yang Institute of Technology,5,28
Lee-Ming Institute of Technology,5,28
Nan Jeon University of Science and Technology,5,28
Oriental Institute of Technology,5,28
Taipei College of Maritime Technology,5,28
Taoyuan Innovation Institute of Technology,5,28
Tatung Institute of Commerce and Technology,5,28
Taiwan Hospitality and Tourism University,5,28
Tung Fang Design Institute,5,28
Tzu Chi College of Technology,5,28
Wenzao Ursuline University of Languages,5,28
Cardinal Tien College of Healthcare and Management,5,28
"Chung Jen College of Nursing, Health Science and Management",5,28
Hsin Sheng College of Medical Care and Management,5,28
"Jen-Teh Junior College of Medicine, Nursing and Management",5,28
Kang-Ning Junior College of Medical Care and Management,5,28
Kaomei College of Health Care and Management,5,28
"Mackay Medicine, Nursing and Management College",5,28
Min-Hwei College of Health Care Management,5,28
Shu Zen College of Medicine and Management,5,28
St. Mary's Medicine Nursing and Management College,5,28
Tzu Hui Institute of Technology,5,28
Yuh-Ing Junior College of Health Care and Management,5,28
,5,28
Military and police academies[edit],5,28
,5,28
,5,28
,5,28
,5,28
,5,28
Army Academy R.O.C.,5,28
,5,28
,5,28
,5,28
,5,28
,5,28
,5,28
,5,28
National Defense Medical Center,5,28
,5,28
,5,28
,5,28
,5,28
,5,28
,5,28
,5,28
,5,28
,5,28
National Defense University,5,28
,5,28
,5,28
,5,28
,5,28
,5,28
,5,28
,5,28
,5,28
Republic of China Military Academy,5,28
,5,28
,5,28
,5,28
,5,28
,5,28
,5,28
,5,28
,5,28
,5,28
Republic of China Air Force Academy,5,28
,5,28
Name,5,28
Air Force Institute of Technology,5,28
Army Academy R.O.C.,5,28
Central Police University,5,28
National Defense Medical Center,5,28
National Defense University,5,28
Republic of China Air Force Academy,5,28
Republic of China Military Academy,5,28
Republic of China Naval Academy,5,28
Taiwan Police College,5,28
